federal_account_symbol,federal_account_name,agency_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total
047-5381,"Acquisition Workforce Training Fund, General Services Administration",General Services Administration,General Government,General property and records management,14891102.16,-13685.90,9415795.56,0.00,0.00,0.00,0.00,24293211.82,9064810.85,194315.46,15228400.97,12790994.49,24293211.82
069-0150,"Activities Transferred from Civil Aeronautics Board, Office of the Secretary, Transportation",Department of Transportation,Transportation,Air transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
020-0560,"Administering the Public Debt, Bureau of the Fiscal Service, Treasury",Department of the Treasury,General Government,Central fiscal operations,3327054.05,-695138.56,0.00,0.00,0.00,0.00,0.00,2631915.49,0.00,4092.73,2631915.49,2060642.48,2631915.49
069-1400,"Administration Expenses, Pipeline and Hazardous Materials Safety Administration, Transportation",Department of Transportation,Transportation,Other transportation,1354676.86,1435.55,23000000.00,0.00,0.00,41507.77,41507.77,24397620.18,23134958.11,212956.13,1262662.07,21851837.37,24397620.18
012-5361,"Administration of Rights-of-Way and Other Land Uses Fund, Forest Service,  Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,19614405.12,229625.19,2037037.92,0.00,0.00,10147765.67,10147765.67,32028833.90,8122333.46,229625.19,23906500.44,7538437.68,32028833.90
075-8510,"Administration on Aging Gift Fund, Health and Human Services",Department of Health and Human Services,Health,Health care services,310491.36,0.00,0.00,0.00,0.00,0.00,0.00,310491.36,0.00,0.00,310491.36,0.00,310491.36
012-2707,"Administrative and Operating Expenses, Office of Risk Management",Department of Agriculture,Agriculture,Farm income stabilization,4336626.65,584238.78,83133787.00,0.00,0.00,34485.28,34485.28,88089137.71,83166647.28,1582837.35,4922490.43,80470296.67,88089137.71
070-0712,"Administrative and Regional Operations, Emergency Preparedness and Response, Homeland Security",Department of Homeland Security,Community and Regional Development,Disaster relief and insurance,1672.31,0.00,0.00,0.00,0.00,0.00,0.00,1672.31,0.00,0.00,1672.31,0.00,1672.31
028-0415,"Administrative Costs, The Medicare Improvements for Patients and Providers Act, Social Security Administration",Social Security Administration,Medicare,Medicare,14895521.53,0.00,0.00,0.00,0.00,0.00,0.00,14895521.53,0.00,0.00,14895521.53,37476.23,14895521.53
028-0416,"Administrative Expenses, Children's Health Insurance Program, Social Security Administration",Social Security Administration,Health,Health care services,2015000.08,0.00,0.00,0.00,0.00,0.00,0.00,2015000.08,18419.02,0.00,1996581.06,18419.02,2015000.08
016-1524,"Administrative Expenses, Energy Employees Occupational Illness Compensation Fund, Office of Workers' Compensation Programs, Labor",,National Defense,Atomic energy defense activities,3992132.86,1679808.38,124991593.33,0.00,0.00,0.00,0.00,130663534.57,128014391.91,1679808.38,2649142.66,117013811.30,130663534.57
069-1120,"Administrative Expenses, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,2316373.64,1045306.98,113165000.00,0.00,0.00,65044.98,65044.98,116591725.60,114118582.03,1045306.98,2473143.57,111515177.49,116591725.60
060-0118,"Administrative Expenses, Railroad Unemployment Insurance Extended Benefits Payments, Railroad Retirement Board",Railroad Retirement Board,Income Security,Unemployment compensation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
015-0339,"Administrative Review and Appeals, General Administration, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,37636813.61,2616549.60,504500000.00,0.00,0.00,37932.56,37932.56,544791295.77,526442845.99,4626783.89,18348449.78,485316080.10,544791295.77
069-4562,"Administrative Services Franchise Fund, Federal Aviation Administration, Transportation",Department of Transportation,Transportation,Air transportation,260687472.11,34684944.05,0.00,0.00,0.00,453573639.78,453573639.78,748946055.94,528719511.14,34684944.05,220226544.80,499141751.67,748946055.94
086-0335,"Administrative Support Offices, Management and Administration, Housing and Urban Development",Department of Housing and Urban Development,Income Security,Housing assistance,33029308.43,5160586.95,535014344.00,0.00,0.00,2451564.34,2451564.34,575655803.72,544943980.82,17963702.32,30711822.90,506090879.07,575655803.72
089-0337,"Advanced Research Projects Agency-Energy, Energy Programs, Energy",Department of Energy,Energy,Energy supply,256413054.95,25439152.71,353314000.00,0.00,0.00,804333.92,804333.92,635970541.58,185668377.26,25526067.00,450302164.32,251764094.98,635970541.58
089-0323,"Advanced Technology Vehicle Manufacturing Loan Program-Recovery Act, Energy",Department of Energy,Energy,Energy conservation,7.27,0.00,0.00,0.00,0.00,0.00,0.00,7.27,7.27,0.00,0.00,7.27,7.27
089-0322,"Advanced Technology Vehicles Manufacturing Loan Program Account, Energy Programs, Energy",Department of Energy,Energy,Energy conservation,4337565476.34,161506.37,107969171.53,0.00,0.00,0.00,0.00,4445696154.24,106905789.87,161506.37,4338790364.37,107448092.86,4445696154.24
089-8575,"Advances for Cooperative Work, Departmental Operations, Energy",Department of Energy,Energy,Energy supply,68467.57,0.00,0.00,0.00,0.00,0.00,0.00,68467.57,0.00,0.00,68467.57,0.00,68467.57
011-8242,"Advances, Foreign Military Sales, Funds Appropriated to the President",,International Affairs,International financial programs,58547438.77,0.00,1009699999.99,0.00,55704998422.66,0.00,55704998422.66,56773245861.42,56631879909.70,0.00,141365951.72,31741789139.58,56773245861.42
011-8246,"Advances from Foreign Governments, Peace Corps",,International Affairs,International development and humanitarian assistance,30755.10,19922.26,0.00,0.00,0.00,0.00,0.00,50677.36,50677.36,19922.26,0.00,50677.36,50677.36
069-8054,"Advances from State Cooperating Agencies, Foreign Governments, and Other Federal Agencies, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,104312779.94,4761063.62,20706222.15,0.00,0.00,0.00,0.00,129780065.71,23129237.55,4761063.62,106650828.16,31161837.27,129780065.71
016-0327,"Advances to the Unemployment Trust Fund and Other Funds, Employment and Training Administration, Labor",,Income Security,Unemployment compensation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
080-0126,"Aeronautics, National Aeronautics and Space Administration",National Aeronautics and Space Administration,Transportation,Air transportation,14933198.81,6365197.25,690000000.00,0.00,0.00,0.00,0.00,711298396.06,685581004.61,8585009.84,25717391.45,650184255.31,711298396.06
075-0115,"Affordable Insurance Exchange Grants, Centers for Medicare and Medicaid Services, Health and Human Services",Department of Health and Human Services,Health,Health care services,0.00,0.00,11698391.89,0.00,0.00,0.00,0.00,11698391.89,11698391.89,103384085.01,0.00,48101814.20,11698391.89
021-2096,"Afghanistan Infrastructure Fund, Army",Department of the Army,National Defense,Department of Defense-Military,86885900.70,-43800895.16,0.00,0.00,0.00,0.00,0.00,43085005.54,12430166.34,1573752.35,30654839.20,66922791.36,43085005.54
021-2091,"Afghanistan Security Forces Fund, Army",Department of the Army,National Defense,Department of Defense-Military,2002892472.72,586402213.31,4566815000.00,0.00,0.00,396565016.80,396565016.80,7552674702.83,5332102286.12,1455020697.23,2220572416.71,4384377296.14,7552674702.83
011-0700,"African Development Foundation, Funds Appropriated to the President",,International Affairs,International development and humanitarian assistance,3432034.13,652850.68,30000000.00,0.00,0.00,0.00,0.00,34084884.81,30537764.95,2588781.57,3547119.86,31125662.34,34084884.81
075-8512,"Agency for Healthcare Research and Quality Gift Fund, Health and Human Services",Department of Health and Human Services,Health,Health care services,215954.45,273.39,0.00,0.00,0.00,0.00,0.00,216227.84,25758.19,273.39,190469.65,445547.96,216227.84
049-0180,"Agency Operations and Award Management, National Science Foundation",National Science Foundation,"General Science, Space, and Technology",General science and basic research,8735814.69,370394.72,328510000.00,0.00,0.00,5698775.38,5698775.38,343314984.79,335126308.52,3721518.29,8188676.27,371708868.40,343314984.79
075-0142,"Aging and Disability Services Programs, Administration for Community Living, Health and Human Services",Department of Health and Human Services,"Education, Training, Employment, and Social Services",Social services,31794392.25,-9011210.06,2114848547.00,0.00,0.00,93600265.51,93600265.51,2231231994.70,2208370111.79,9237563.73,22861882.91,1998988213.56,2231231994.70
012-4140,"Agricultural Credit Insurance Fund, Liquidating Account, Consolidated Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,6263044.74,-5997649.76,0.00,0.00,0.00,6449516.46,6449516.46,6714911.44,1750011.08,265394.98,4964900.36,679213.24,6714911.44
012-1140,"Agricultural Credit Insurance Fund Program Account,  Farm Service Agency",Department of Agriculture,Agriculture,Farm income stabilization,26921304.11,-1234206.12,586907867.00,0.00,0.00,0.00,0.00,612594964.99,558564096.22,3819737.77,54030868.77,555011286.29,612594964.99
012-5531,"Agricultural Disaster Relief Trust Fund, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,15184040.46,114673.56,63985.08,0.00,0.00,0.00,0.00,15362699.10,251494.67,755825.93,15111204.43,244921.67,15362699.10
012-5161,"Agricultural Quarantine Inspection User Fee Account, Animal and Plant Health Inspection Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,122315863.55,2849775.51,257392485.55,0.00,0.00,191274.00,191274.00,382749398.61,236271238.72,2849775.51,146478159.89,223375636.02,382749398.61
012-0117,"Agriculture Buildings and Facilities, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,45370375.99,10922019.47,64414000.00,0.00,0.00,10468085.00,10468085.00,131174480.46,78087709.77,10922019.47,53086770.69,68529950.57,131174480.46
012-5636,"Agriculture Wool Apparel Manufacturers Trust Fund, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,15846741.86,0.00,28020000.00,0.00,0.00,0.00,0.00,43866741.86,27890144.00,0.00,15976597.86,28006780.78,43866741.86
070-0544,"Air and Marine Interdiction, Operations, Maintenance, and Procurement, U.S. Customs and Border Protection, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,24505533.03,17626106.20,0.00,0.00,0.00,661835.80,661835.80,42793475.03,30825657.45,18424327.19,11967817.58,119545011.32,42793475.03
057-3010,"Aircraft Procurement, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,10659201804.43,40027583.72,18755280266.00,0.00,0.00,146466998.97,146466998.97,29600976653.12,17145597177.80,579119819.45,12455379475.32,12985933625.60,29600976653.12
021-2031,"Aircraft Procurement, Army",Department of the Army,National Defense,Department of Defense-Military,2392776450.24,247856504.63,5966531012.00,0.00,0.00,271329292.86,271329292.86,8878493259.73,5940931400.81,410996294.48,2937561858.92,5575303799.69,8878493259.73
017-1506,"Aircraft Procurement, Navy",Department of the Navy,National Defense,Department of Defense-Military,6430282091.79,733009063.32,19885359153.00,0.00,0.00,0.00,0.00,27048650308.11,17579921299.84,1067148394.98,9468729008.27,15914143161.65,27048650308.11
057-8418,"Air Force Cadet Fund, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,0.00,431940.04,0.00,0.00,0.00,0.00,0.00,431940.04,215525.00,431940.04,216415.04,0.00,431940.04
069-8103,"Airport and Airway Trust Fund - Treasury Managed, Transportation",Department of Transportation,Transportation,Air transportation,0.00,0.00,919.00,0.00,0.00,0.00,0.00,919.00,919.00,0.00,0.00,919.00,919.00
070-5545,"Airport Checkpoint Screening Fund, Transportation Security Administration, Homeland Security",Department of Homeland Security,Transportation,Air transportation,301482.25,171450.09,0.00,0.00,0.00,0.00,0.00,472932.34,159898.89,171450.09,313033.45,5526488.18,472932.34
069-0646,"Alabama and West Virginia Highway Projects, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
069-0581,"Alabama Feasibility Study, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
069-0571,"Alabama Highway Bypass Demonstration Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
069-8375,"Alabama Highway Bypass Demonstration Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
069-0537,"Alaska Highways, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,62861.61,0.00,0.00,0.00,0.00,0.00,0.00,62861.61,0.00,0.00,62861.61,0.00,62861.61
069-0730,"Alaska Railroad Rehabilitation, Federal Railroad Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
014-5242,"Alaska Resupply Program, Bureau of Indian Affairs",Department of the Interior,Community and Regional Development,Area and regional development,442492.02,0.00,291968.30,0.00,0.00,0.00,0.00,734460.32,309447.79,0.00,425012.53,360425.97,734460.32
047-0105,"Allowances and Office Staff for Former Presidents, General Services Administration",General Services Administration,General Government,Executive direction and management,1779556.63,-534175.79,4754000.00,0.00,0.00,0.00,0.00,5999380.84,4426265.97,101806.07,1573114.87,4329525.79,5999380.84
012-1231,"AL Telephone Bank Program Account, Rural Utilities Service",Department of Agriculture,Community and Regional Development,Area and regional development,2850515.05,-2850515.05,6543427.00,0.00,0.00,0.00,0.00,6543427.00,6543427.00,711158.45,0.00,6543427.00,6543427.00
070-0614,"Alteration of Bridges, Coast Guard, Homeland Security",Department of Homeland Security,Transportation,Water transportation,14117838.96,0.00,-12399730.00,0.00,0.00,0.00,0.00,1718108.96,0.00,0.00,1718108.96,0.00,1718108.96
012-4144,"Alternative Agricultural Research and Commercialization Revolving Fund, Rural Business-Cooperative Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1065703.96,0.00,0.00,0.00,0.00,0.00,0.00,1065703.96,0.00,0.00,1065703.96,0.00,1065703.96
091-0600,"American Printing House for the Blind, Special Institutions for Persons with Disabilities, Department of Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",0.00,0.00,27431000.00,0.00,0.00,0.00,0.00,27431000.00,27431000.00,0.00,0.00,24923209.87,27431000.00
019-1082,"American Sections, International Commissions, State",Department of State,Natural Resources and Environment,Water resources,2140163.90,-47482.33,13258000.00,0.00,0.00,0.00,0.00,15350681.57,13776226.83,313771.95,1574454.74,12754764.10,15350681.57
019-8166,"American Studies Endowment Fund, State",Department of State,International Affairs,Foreign information and exchange activities,42710.83,0.00,0.00,0.00,0.00,0.00,0.00,42710.83,0.00,0.00,42710.83,0.00,42710.83
070-0115,"Analysis and Operations, Departmental Management and Operations, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,27933933.40,-29144.99,241598000.00,0.00,0.00,32796534.04,32796534.04,302299322.45,292580490.29,12296117.85,9718832.16,268816077.57,302299322.45
019-1154,"Andean Counterdrug Initiative, State",Department of State,International Affairs,International development and humanitarian assistance,-5056089.76,124815.79,0.00,0.00,0.00,0.00,0.00,-4931273.97,8728.16,124815.79,-4940002.13,339528.00,-4931273.97
070-5569,"APEC Business Travel Card Account, Customs and Border Protection, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,3399794.00,0.00,1866638.00,0.00,0.00,0.00,0.00,5266432.00,3786998.00,0.00,1479434.00,3786998.00,5266432.00
069-0521,"Appalachian Corridor Improvement Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
069-8072,"Appalachian Development Highway System, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,49236.29,42726.39,0.00,0.00,0.00,0.00,0.00,91962.68,87962.68,42726.39,4000.00,360.40,91962.68
069-0640,"Appalachian Development System, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,45954382.65,2194666.58,0.00,0.00,0.00,0.00,0.00,48149049.23,7832463.69,2194666.58,40316585.54,4088931.52,48149049.23
309-0200,"Appalachian Regional Development Programs, Appalachian Regional Commission",Appalachian Regional Commission,Community and Regional Development,Area and regional development,64200318.81,10308769.24,153057344.00,0.00,0.00,5387818.00,5387818.00,232954250.05,54895139.65,8224793.94,178059110.40,82696060.04,232954250.05
069-0644,"Arkansas I-69 Connector, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,8857875.00,0.00,0.00,0.00,0.00,0.00,0.00,8857875.00,0.00,0.00,8857875.00,0.00,8857875.00
084-8522,Armed Force Retirement Home,Armed Forces Retirement Home,Income Security,Federal employee retirement and disability,32597479.05,2780320.11,59842497.46,0.00,0.00,0.00,0.00,95220296.62,59365210.41,2780320.11,35855086.21,56428257.00,95220296.62
019-1130,"Arrearage Payments, State",Department of State,International Affairs,Conduct of foreign affairs,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.45,0.00,0.45
417-0101,"Arts and Artifacts Indemnity Fund, National Endowment for the Arts",National Endowment for the Arts,"Education, Training, Employment, and Social Services",Research and general education aids,280484.00,0.00,0.00,0.00,0.00,0.00,0.00,280484.00,0.00,0.00,280484.00,0.00,280484.00
020-8413,"Assessment Funds, Office of the Comptroller of the Currency, Treasury",Department of the Treasury,Commerce and Housing Credit,Deposit insurance,1510401010.55,12223254.12,0.00,0.00,0.00,1254688074.93,1254688074.93,2777312339.60,1235703852.00,12223254.12,1541608487.60,1211686912.23,2777312339.60
047-0614,"Asset Proceeds and Space Management Fund, General Services Administration",General Services Administration,General Government,General property and records management,0.00,0.00,5000000.00,0.00,0.00,0.00,0.00,5000000.00,0.00,0.00,5000000.00,0.00,5000000.00
015-5042,"Assets Forfeiture Fund, Justice",Department of Justice,Administration of Justice,Federal litigative and judicial activities,1302828672.72,87593661.46,1353852481.01,0.00,0.00,16857215.08,16857215.08,2761132030.27,1560266338.69,87593661.46,1200865691.58,2623416231.48,2761132030.27
072-1010,"Assistance for Eastern Europe and the Baltic States, Funds Appropriated to the President",Agency for International Development,International Affairs,International development and humanitarian assistance,4462951.56,-357592.83,0.00,0.00,0.00,0.00,0.00,4105358.73,49846.59,129066.00,4055512.14,259719.57,4105358.73
072-0306,"Assistance for Europe, Eurasia and Central Asia, Funds Appropriated to the President, Agency for International Development",Agency for International Development,International Affairs,International development and humanitarian assistance,942477010.85,-5108508.20,750334000.00,0.00,0.00,300000.00,300000.00,1688002502.65,916920598.14,13712812.96,771081904.51,470910484.97,1688002502.65
072-1093,"Assistance for the Independent States of the Former Soviet Union, Funds Appropriated to the President",Agency for International Development,International Affairs,International development and humanitarian assistance,9723553.06,-2409991.49,0.00,0.00,0.00,0.00,0.00,7313561.57,9617.00,773404.39,7303944.57,628302.09,7313561.57
072-0402,Assistance for the New Independent States of the Former Soviet Union:  Ukraine Export Credit Insurance Program Account,Agency for International Development,International Affairs,International development and humanitarian assistance,19778.82,0.00,42176462.00,0.00,0.00,0.00,0.00,42196240.82,42176462.00,0.00,19778.82,42176462.00,42196240.82
020-0125,"Assistance to Federal National Mortgage Association and Federal Home Loan Mortgage Corporation, Departmental Offices, Treasury",Department of the Treasury,Commerce and Housing Credit,Mortgage credit,258050000000.00,0.00,0.00,0.00,0.00,0.00,0.00,258050000000.00,3999000000.00,0.00,254051000000.00,3999000000.00,258050000000.00
069-1770,"Assistance to Shipyards, Maritime Administration, Transportation",Department of Transportation,Transportation,Water transportation,488635.50,54.86,20000000.00,0.00,0.00,0.00,0.00,20488690.36,20229937.23,54.86,258753.13,6240983.50,20488690.36
014-0412,"Assistance to Territories, Insular Affairs, Interior",Department of the Interior,General Government,Other general government,19294734.52,4848549.82,99870000.00,0.00,0.00,0.00,0.00,124013284.34,115081499.87,5069204.84,8931784.47,73222594.12,124013284.34
070-0531,"Automation Modernization, U.S. Customs and Border Protection, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,25269407.59,6198270.92,0.00,0.00,0.00,-303045.07,-303045.07,31164633.44,3208057.28,11738824.13,27956576.16,91944888.61,31164633.44
070-0543,"Automation Modernization, U.S. Immigration and Customs Enforcement, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,4097029.61,1392107.08,0.00,0.00,0.00,0.00,0.00,5489136.69,2173726.39,1392107.08,3315410.30,17842614.05,5489136.69
069-4120,"Aviation Insurance Revolving Fund, Transportation",Department of Transportation,Transportation,Air transportation,2202902865.11,0.00,0.00,0.00,0.00,29172713.30,29172713.30,2232075578.41,713398.47,0.00,2231362179.94,819155.15,2232075578.41
070-5385,"Aviation Security Capital Fund, Transportation Security Administration, Homeland Security",Department of Homeland Security,Transportation,Air transportation,284265491.02,14949997.16,250750000.00,0.00,0.00,0.00,0.00,549965488.18,382551574.11,14949997.16,167413914.07,361714820.89,549965488.18
070-0550,"Aviation Security, Transportation Security Administration, Homeland Security",Department of Homeland Security,Transportation,Air transportation,574640660.35,3273078.52,4633232130.56,0.00,0.00,2779664982.83,2779664982.83,7990810852.26,7574822512.11,89078791.67,415988340.15,7320304267.44,7990810852.26
069-5422,"Aviation User Fees, Federal Aviation Administration, Transportation",Department of Transportation,Transportation,Air transportation,13905184.53,12444.92,10128802.39,0.00,0.00,0.00,0.00,24046431.84,1360745.48,12444.92,22685686.36,1606677.12,24046431.84
069-8014,"Baltimore-Washington Parkway Trust Fund, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
021-8063,"Bequest of Major General Fred C. Ainsworth, Library, Walter Reed General Hospital, Army",Department of the Army,National Defense,Department of Defense-Military,23684.25,0.00,0.00,0.00,0.00,0.00,0.00,23684.25,0.00,0.00,23684.25,0.00,23684.25
069-0507,"Bikeway Program, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
091-1300,"Bilingual and Immigrant Education, Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",6894813.16,2898397.20,737400000.00,0.00,0.00,0.00,0.00,747193210.36,734749355.38,3814580.84,12443854.98,697951713.66,747193210.36
070-0714,"Biodefense Countermeasures, National Protection and Programs Directorate, Homeland Security",Department of Homeland Security,Health,Health care services,13167.40,-13167.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11399132.35,0.00,265563.32,0.00
012-1003,"Biomass Research and Development, National Institute of Food and Agriculture, Agriculture",Department of Agriculture,Energy,Energy supply,8655688.14,1722058.97,0.00,0.00,0.00,0.00,0.00,10377747.11,6693041.53,1722058.97,3684705.58,2675876.88,10377747.11
012-3106,"Biorefinery Assistance Program Account, Rural Business - Cooperative Service, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,91631634.00,170763132.00,81788974.13,0.00,0.00,0.00,0.00,344183740.13,81059215.00,170763132.00,263124525.13,95913177.00,344183740.13
075-0958,"Birth Defects, Developmental Disabilities, Disabilities and Health, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,Health,Health care services,4826171.43,759688.85,140086000.00,0.00,0.00,0.00,0.00,145671860.28,140748373.13,6626501.30,4923487.15,137977436.79,145671860.28
016-8144,"Black Lung Disability Trust Fund - Treasury Managed, Labor",,Income Security,General retirement and disability insurance (excluding social se,0.00,0.00,371183941.36,29941626.89,0.00,0.00,29941626.89,401125568.25,401125568.25,0.00,0.00,401468471.23,401125568.25
036-1122,"Board of Veterans Appeals, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,20771133.36,350385.76,154048000.00,0.00,0.00,0.00,0.00,175169519.12,152130126.05,350385.76,23039393.07,142992096.87,175169519.12
070-8149,"Boat Safety, USCG, Homeland Security",Department of Homeland Security,Transportation,Water transportation,4180384.93,2349313.48,114157716.00,0.00,0.00,0.00,0.00,120687414.41,114772378.18,2349313.48,5915036.23,124167947.31,120687414.41
