federal_account_symbol,federal_account_name,agency_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total
012-5216,"Acquisition of Lands to Complete Land Exchanges, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,27664984.80,104162.63,3917218.92,0.00,0.00,0.00,0.00,31686366.35,4257291.76,104162.63,27429074.59,10734101.33,31686366.35
072-4590,"Acquisition of Property Revolving Fund, Agency for International Development",Agency for International Development,International Affairs,International development and humanitarian assistance,46299.08,0.00,0.00,0.00,0.00,0.00,0.00,46299.08,0.00,0.00,46299.08,0.00,46299.08
047-4534,"Acquisition Services Fund, General Services Administration",General Services Administration,General Government,General property and records management,1594956571.81,241070616.22,0.00,0.00,0.00,12404874414.70,12404874414.70,14240901602.73,13626210788.37,308757712.46,614690814.36,11192688320.48,14240901602.73
047-5381,"Acquisition Workforce Training Fund, General Services Administration",General Services Administration,General Government,General property and records management,18665822.53,-1206298.21,7704704.54,0.00,0.00,0.00,0.00,25164228.86,10273126.70,470097.65,14891102.16,8480684.89,25164228.86
069-0150,"Activities Transferred from Civil Aeronautics Board, Office of the Secretary, Transportation",Department of Transportation,Transportation,Air transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
020-0560,"Administering the Public Debt, Bureau of the Fiscal Service, Treasury",Department of the Treasury,General Government,Central fiscal operations,4634119.76,-1288597.75,0.00,0.00,0.00,0.00,0.00,3345522.01,18467.96,125645.78,3327054.05,2029579.07,3345522.01
069-1400,"Administration Expenses, Pipeline and Hazardous Materials Safety Administration, Transportation",Department of Transportation,Transportation,Other transportation,1104325.38,190841.91,22500000.00,0.00,0.00,5000.00,5000.00,23800167.29,22445490.43,871789.82,1354676.86,22375977.64,23800167.29
012-5361,"Administration of Rights-of-Way and Other Land Uses Fund, Forest Service,  Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,17602353.03,277576.90,2320629.89,0.00,0.00,6396590.80,6396590.80,26597150.62,6982745.50,277576.90,19614405.12,6745875.09,26597150.62
075-8510,"Administration on Aging Gift Fund, Health and Human Services",Department of Health and Human Services,Health,Health care services,310491.36,0.00,0.00,0.00,0.00,0.00,0.00,310491.36,0.00,0.00,310491.36,0.00,310491.36
086-0328,"Administration, Operations, and Management-Recovery Act, Housing and Urban Development",Department of Housing and Urban Development,Income Security,Housing assistance,7235041.07,-7233783.87,0.00,0.00,0.00,0.00,0.00,1257.20,1257.20,265113.51,0.00,0.00,1257.20
012-2707,"Administrative and Operating Expenses, Office of Risk Management",Department of Agriculture,Agriculture,Farm income stabilization,3247469.06,492005.08,83600112.00,0.00,0.00,57999.54,57999.54,87397585.68,83060959.03,876601.06,4336626.65,86824580.36,87397585.68
070-0712,"Administrative and Regional Operations, Emergency Preparedness and Response, Homeland Security",Department of Homeland Security,Community and Regional Development,Disaster relief and insurance,1462.02,210.29,0.00,0.00,0.00,0.00,0.00,1672.31,0.00,210.29,1672.31,0.00,1672.31
028-0415,"Administrative Costs, The Medicare Improvements for Patients and Providers Act, Social Security Administration",Social Security Administration,Medicare,Medicare,14895521.53,0.00,0.00,0.00,0.00,0.00,0.00,14895521.53,0.00,0.00,14895521.53,39487.56,14895521.53
028-0416,"Administrative Expenses, Children's Health Insurance Program, Social Security Administration",Social Security Administration,Health,Health care services,2030709.00,0.00,0.00,0.00,0.00,0.00,0.00,2030709.00,15708.92,0.00,2015000.08,15708.92,2030709.00
016-1524,"Administrative Expenses, Energy Employees Occupational Illness Compensation Fund, Office of Workers' Compensation Programs, Labor",,National Defense,Atomic energy defense activities,3105953.78,7801102.28,123264879.36,0.00,0.00,0.00,0.00,134171935.42,130179802.56,7801102.28,3992132.86,124749642.18,134171935.42
069-1120,"Administrative Expenses, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,3400639.16,-951173.04,113165000.00,0.00,0.00,113400.92,113400.92,115727867.04,113411493.40,708140.08,2316373.64,110709470.46,115727867.04
015-0339,"Administrative Review and Appeals, General Administration, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,30376336.03,-127009.01,440000000.00,0.00,0.00,9263.64,9263.64,470258590.66,432621777.05,2263549.90,37636813.61,417867734.16,470258590.66
069-4562,"Administrative Services Franchise Fund, Federal Aviation Administration, Transportation",Department of Transportation,Transportation,Air transportation,260376856.63,26759577.66,0.00,0.00,0.00,486523317.48,486523317.48,773659751.77,512972279.66,26759577.66,260687472.11,446077086.99,773659751.77
086-0335,"Administrative Support Offices, Management and Administration, Housing and Urban Development",Department of Housing and Urban Development,Income Security,Housing assistance,33776597.29,18206867.40,535911000.00,0.00,0.00,1397671.12,1397671.12,589292135.81,556262827.38,26106577.67,33029308.43,506868302.46,589292135.81
089-0337,"Advanced Research Projects Agency-Energy, Energy Programs, Energy",Department of Energy,Energy,Energy supply,238158745.08,12987049.41,305245000.00,0.00,0.00,283509.68,283509.68,556674304.17,300261249.22,25989226.79,256413054.95,270684519.83,556674304.17
089-0323,"Advanced Technology Vehicle Manufacturing Loan Program-Recovery Act, Energy",Department of Energy,Energy,Energy conservation,7.27,0.00,0.00,0.00,0.00,0.00,0.00,7.27,0.00,0.00,7.27,0.00,7.27
089-0322,"Advanced Technology Vehicles Manufacturing Loan Program Account, Energy Programs, Energy",Department of Energy,Energy,Energy conservation,4295778222.36,43681869.82,3883000.00,0.00,0.00,0.00,0.00,4343343092.18,5777615.84,43681869.82,4337565476.34,5769405.71,4343343092.18
070-4641,"Advanced Training Center Revolving Fund, U.S. Customs and Border Protection, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,0.00,0.00,0.00,0.00,0.00,300000.00,300000.00,300000.00,0.00,0.00,300000.00,0.00,300000.00
089-8575,"Advances for Cooperative Work, Departmental Operations, Energy",Department of Energy,Energy,Energy supply,68467.57,0.00,0.00,0.00,0.00,0.00,0.00,68467.57,0.00,0.00,68467.57,0.00,68467.57
011-8242,"Advances, Foreign Military Sales, Funds Appropriated to the President",,International Affairs,International financial programs,99636866.74,0.00,920200000.00,0.00,39562595949.92,0.00,39562595949.92,40582432816.66,40523885377.89,0.00,58547438.77,28329758986.01,40582432816.66
011-8246,"Advances from Foreign Governments, Peace Corps",,International Affairs,International development and humanitarian assistance,44121.57,74.55,0.00,0.00,0.00,0.00,0.00,44196.12,13441.02,74.55,30755.10,-5454.84,44196.12
069-8054,"Advances from State Cooperating Agencies, Foreign Governments, and Other Federal Agencies, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,80917618.99,3796768.60,77907453.98,0.00,0.00,0.00,0.00,162621841.57,58309061.63,3796768.60,104312779.94,17758556.02,162621841.57
016-0327,"Advances to the Unemployment Trust Fund and Other Funds, Employment and Training Administration, Labor",,Income Security,Unemployment compensation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
080-0126,"Aeronautics, National Aeronautics and Space Administration",National Aeronautics and Space Administration,Transportation,Air transportation,13317576.87,5745956.29,656000000.00,0.00,0.00,0.00,0.00,675063533.16,660130334.35,6963251.85,14933198.81,629289117.94,675063533.16
075-0115,"Affordable Insurance Exchange Grants, Centers for Medicare and Medicaid Services, Health and Human Services",Department of Health and Human Services,Health,Health care services,0.00,49425.30,18221366.16,0.00,0.00,0.00,0.00,18270791.46,18270791.46,66677939.20,0.00,159422023.91,18270791.46
021-2096,"Afghanistan Infrastructure Fund, Army",Department of the Army,National Defense,Department of Defense-Military,213789045.48,-112769526.25,0.00,0.00,0.00,0.00,0.00,101019519.23,14133618.53,15542142.87,86885900.70,119751626.83,101019519.23
021-2091,"Afghanistan Security Forces Fund, Army",Department of the Army,National Defense,Department of Defense-Military,2376694186.93,-186155387.48,4112715000.00,0.00,0.00,117028470.00,117028470.00,6420282269.45,4417389796.73,425091281.71,2002892472.72,3686254347.52,6420282269.45
011-0700,"African Development Foundation, Funds Appropriated to the President",,International Affairs,International development and humanitarian assistance,3519685.55,819749.38,30000000.00,0.00,0.00,0.00,0.00,34339434.93,30907400.80,3389143.22,3432034.13,31116009.83,34339434.93
075-8512,"Agency for Healthcare Research and Quality Gift Fund, Health and Human Services",Department of Health and Human Services,Health,Health care services,364183.99,168026.00,791164.00,0.00,0.00,0.00,0.00,1323373.99,1107419.54,168026.00,215954.45,524365.87,1323373.99
049-0180,"Agency Operations and Award Management, National Science Foundation",National Science Foundation,"General Science, Space, and Technology",General science and basic research,29706309.55,3028052.40,359090000.00,0.00,0.00,4207371.52,4207371.52,396031733.47,387295918.78,5791457.98,8735814.69,386342736.04,396031733.47
075-0142,"Aging and Disability Services Programs, Administration for Community Living, Health and Human Services",Department of Health and Human Services,"Education, Training, Employment, and Social Services",Social services,19546064.24,20802995.31,1939756084.00,0.00,0.00,88630107.83,88630107.83,2068735251.38,2036940859.13,32402159.92,31794392.25,1995650808.19,2068735251.38
012-4140,"Agricultural Credit Insurance Fund, Liquidating Account, Consolidated Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,10602511.89,-10585908.40,0.00,0.00,0.00,7318758.58,7318758.58,7335362.07,1072317.33,16603.49,6263044.74,888696.23,7335362.07
012-1140,"Agricultural Credit Insurance Fund Program Account,  Farm Service Agency",Department of Agriculture,Agriculture,Farm income stabilization,26202112.88,-1454477.84,623782486.00,0.00,0.00,0.00,0.00,648530121.04,621608816.93,3797517.69,26921304.11,613313792.47,648530121.04
012-5531,"Agricultural Disaster Relief Trust Fund, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,15675821.98,37582.95,47400.45,0.00,0.00,1000.70,1000.70,15761806.08,577765.62,1286341.15,15184040.46,579059.89,15761806.08
012-5161,"Agricultural Quarantine Inspection User Fee Account, Animal and Plant Health Inspection Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,135437780.20,3279021.01,226342202.71,0.00,0.00,0.00,0.00,365059003.92,242743140.37,3279021.01,122315863.55,228065270.84,365059003.92
012-0117,"Agriculture Buildings and Facilities, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,22498124.67,2757592.30,84189000.00,0.00,0.00,7183106.39,7183106.39,116627823.36,71257447.37,2757592.30,45370375.99,60140797.25,116627823.36
012-5636,"Agriculture Wool Apparel Manufacturers Trust Fund, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,14489448.58,0.00,27930000.00,0.00,0.00,0.00,0.00,42419448.58,26572706.72,0.00,15846741.86,26641468.09,42419448.58
070-0544,"Air and Marine Interdiction, Operations, Maintenance, and Procurement, U.S. Customs and Border Protection, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,84055762.23,26671116.43,-21691044.00,0.00,0.00,2730085.81,2730085.81,91765920.47,67260387.44,26671116.43,24505533.03,306922500.75,91765920.47
057-3010,"Aircraft Procurement, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,13331605802.05,-255230250.33,15560482637.00,0.00,0.00,98782219.98,98782219.98,28735640408.70,18076438604.27,603422114.48,10659201804.43,13033812718.65,28735640408.70
021-2031,"Aircraft Procurement, Army",Department of the Army,National Defense,Department of Defense-Military,2431022909.76,497857123.27,5289623243.00,0.00,0.00,135076731.61,135076731.61,8353580007.64,5960803557.40,621979277.66,2392776450.24,5873599759.48,8353580007.64
017-1506,"Aircraft Procurement, Navy",Department of the Navy,National Defense,Department of Defense-Military,8619495274.38,469465155.54,16739832000.00,0.00,0.00,0.00,0.00,25828792429.92,19398510338.13,880970817.78,6430282091.79,14763455892.16,25828792429.92
057-8418,"Air Force Cadet Fund, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,0.00,0.00,0.00,0.00,0.00,252678.96,252678.96,252678.96,252678.96,0.00,0.00,0.00,252678.96
069-8103,"Airport and Airway Trust Fund - Treasury Managed, Transportation",Department of Transportation,Transportation,Air transportation,0.00,0.00,14596.00,0.00,0.00,0.00,0.00,14596.00,14596.00,0.00,0.00,14596.00,14596.00
070-5545,"Airport Checkpoint Screening Fund, Transportation Security Administration, Homeland Security",Department of Homeland Security,Transportation,Air transportation,6288480.51,193205.82,0.00,0.00,0.00,0.00,0.00,6481686.33,6180204.08,193205.82,301482.25,5453141.55,6481686.33
069-0646,"Alabama and West Virginia Highway Projects, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
069-0581,"Alabama Feasibility Study, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
069-0571,"Alabama Highway Bypass Demonstration Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
069-8375,"Alabama Highway Bypass Demonstration Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
069-0537,"Alaska Highways, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,62861.61,0.00,0.00,0.00,0.00,0.00,0.00,62861.61,0.00,0.00,62861.61,0.00,62861.61
069-0730,"Alaska Railroad Rehabilitation, Federal Railroad Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
014-5242,"Alaska Resupply Program, Bureau of Indian Affairs",Department of the Interior,Community and Regional Development,Area and regional development,429592.69,0.00,132037.00,0.00,0.00,0.00,0.00,561629.69,119137.67,0.00,442492.02,312901.85,561629.69
047-0105,"Allowances and Office Staff for Former Presidents, General Services Administration",General Services Administration,General Government,Executive direction and management,2288468.44,-742356.87,3865000.00,0.00,0.00,0.00,0.00,5411111.57,3631554.94,51369.50,1779556.63,3588879.68,5411111.57
012-1231,"AL Telephone Bank Program Account, Rural Utilities Service",Department of Agriculture,Community and Regional Development,Area and regional development,2686066.05,164449.00,1217881.00,0.00,0.00,0.00,0.00,4068396.05,1217881.00,164449.00,2850515.05,1217881.00,4068396.05
070-0614,"Alteration of Bridges, Coast Guard, Homeland Security",Department of Homeland Security,Transportation,Water transportation,4101.68,14113737.28,0.00,0.00,0.00,0.00,0.00,14117838.96,0.00,14113737.28,14117838.96,0.00,14117838.96
012-4144,"Alternative Agricultural Research and Commercialization Revolving Fund, Rural Business-Cooperative Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1065703.96,0.00,0.00,0.00,0.00,0.00,0.00,1065703.96,0.00,0.00,1065703.96,0.00,1065703.96
091-0600,"American Printing House for the Blind, Special Institutions for Persons with Disabilities, Department of Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",0.00,0.00,25431000.00,0.00,0.00,0.00,0.00,25431000.00,25431000.00,0.00,0.00,23107721.17,25431000.00
019-1082,"American Sections, International Commissions, State",Department of State,Natural Resources and Environment,Water resources,2101261.55,190539.01,12258000.00,0.00,0.00,0.00,0.00,14549800.56,12409636.66,452266.56,2140163.90,11961819.64,14549800.56
019-8166,"American Studies Endowment Fund, State",Department of State,International Affairs,Foreign information and exchange activities,42710.83,0.00,0.00,0.00,0.00,0.00,0.00,42710.83,0.00,0.00,42710.83,0.00,42710.83
012-2280,"Ameri Flora '92 Exposition, Foreign Agriculture Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1030.00,-1030.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
070-0115,"Analysis and Operations, Departmental Management and Operations, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,24240624.52,-789738.85,263075208.00,0.00,0.00,4210792.37,4210792.37,290736886.04,262802952.64,12164217.66,27933933.40,266873245.62,290736886.04
019-1154,"Andean Counterdrug Initiative, State",Department of State,International Affairs,International development and humanitarian assistance,1815293.34,413275.17,0.00,0.00,0.00,236.87,236.87,2228805.38,941.81,413275.17,2227863.57,603343.77,2228805.38
070-5569,"APEC Business Travel Card Account, Customs and Border Protection, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,2168525.00,0.00,1231269.00,0.00,0.00,0.00,0.00,3399794.00,0.00,0.00,3399794.00,0.00,3399794.00
069-0521,"Appalachian Corridor Improvement Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
069-8072,"Appalachian Development Highway System, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,5351.25,43885.04,0.00,0.00,0.00,0.00,0.00,49236.29,0.00,43885.04,49236.29,2117.70,49236.29
069-0640,"Appalachian Development System, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,45929654.26,26109.39,0.00,0.00,0.00,0.00,0.00,45955763.65,1381.00,26109.39,45954382.65,1262721.87,45955763.65
309-0200,"Appalachian Regional Development Programs, Appalachian Regional Commission",Appalachian Regional Commission,Community and Regional Development,Area and regional development,63790086.44,7051458.94,152000000.00,0.00,0.00,4061350.35,4061350.35,226902895.73,162702576.92,7051458.94,64200318.81,89554239.39,226902895.73
012-3302,"Apple Loans Program Account, Farmer Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,0.00,0.00,59993.00,0.00,0.00,0.00,0.00,59993.00,59993.00,0.00,0.00,59993.00,59993.00
069-0644,"Arkansas I-69 Connector, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,8586303.00,271572.00,0.00,0.00,0.00,0.00,0.00,8857875.00,0.00,271572.00,8857875.00,0.00,8857875.00
084-8522,Armed Force Retirement Home,Armed Forces Retirement Home,Income Security,Federal employee retirement and disability,26999278.76,938826.21,64300000.00,0.00,0.00,0.00,0.00,92238104.97,59640625.92,938826.21,32597479.05,58014072.06,92238104.97
019-1130,"Arrearage Payments, State",Department of State,International Affairs,Conduct of foreign affairs,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.45,-13.83,0.45
417-0101,"Arts and Artifacts Indemnity Fund, National Endowment for the Arts",National Endowment for the Arts,"Education, Training, Employment, and Social Services",Research and general education aids,280484.00,0.00,0.00,0.00,0.00,0.00,0.00,280484.00,0.00,0.00,280484.00,0.00,280484.00
020-8413,"Assessment Funds, Office of the Comptroller of the Currency, Treasury",Department of the Treasury,Commerce and Housing Credit,Deposit insurance,1400435477.83,4306096.77,0.00,0.00,0.00,1215915950.62,1215915950.62,2620657525.22,1110256514.67,4306096.77,1510401010.55,1090780570.24,2620657525.22
015-5042,"Assets Forfeiture Fund, Justice",Department of Justice,Administration of Justice,Federal litigative and judicial activities,639701902.89,420374234.42,1572334214.37,0.00,0.00,18354903.88,18354903.88,2650765255.56,1347936582.84,420374234.42,1302828672.72,1083052705.91,2650765255.56
072-1010,"Assistance for Eastern Europe and the Baltic States, Funds Appropriated to the President",Agency for International Development,International Affairs,International development and humanitarian assistance,5058761.17,-75425.54,0.00,0.00,0.00,0.00,0.00,4983335.63,520384.07,1461521.52,4462951.56,399834.24,4983335.63
072-0306,"Assistance for Europe, Eurasia and Central Asia, Funds Appropriated to the President, Agency for International Development",Agency for International Development,International Affairs,International development and humanitarian assistance,585039058.52,43025955.48,968399000.00,0.00,0.00,0.00,0.00,1596464014.00,653987003.15,27790699.08,942477010.85,187356407.97,1596464014.00
072-1093,"Assistance for the Independent States of the Former Soviet Union, Funds Appropriated to the President",Agency for International Development,International Affairs,International development and humanitarian assistance,9466570.37,2971627.50,0.00,0.00,0.00,0.00,0.00,12438197.87,2714644.81,3942877.74,9723553.06,597769.02,12438197.87
072-0402,Assistance for the New Independent States of the Former Soviet Union:  Ukraine Export Credit Insurance Program Account,Agency for International Development,International Affairs,International development and humanitarian assistance,25061260.82,-25041482.00,151038970.00,0.00,0.00,0.00,0.00,151058748.82,151038970.00,0.00,19778.82,151038970.00,151058748.82
020-0125,"Assistance to Federal National Mortgage Association and Federal Home Loan Mortgage Corporation, Departmental Offices, Treasury",Department of the Treasury,Commerce and Housing Credit,Mortgage credit,258050000000.00,0.00,0.00,0.00,0.00,0.00,0.00,258050000000.00,0.00,0.00,258050000000.00,0.00,258050000000.00
069-1770,"Assistance to Shipyards, Maritime Administration, Transportation",Department of Transportation,Transportation,Water transportation,492356.78,1554.56,10000000.00,0.00,0.00,0.00,0.00,10493911.34,10005275.84,1554.56,488635.50,3253533.14,10493911.34
014-0412,"Assistance to Territories, Insular Affairs, Interior",Department of the Interior,General Government,Other general government,3971366.35,3240451.00,91925000.00,0.00,0.00,0.00,0.00,99136817.35,79842082.83,3421844.13,19294734.52,92481335.42,99136817.35
070-0531,"Automation Modernization, U.S. Customs and Border Protection, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,120093561.17,17892379.21,-31880034.00,0.00,0.00,-846096.84,-846096.84,105259809.54,79990401.95,17892379.21,25269407.59,395099294.27,105259809.54
070-0543,"Automation Modernization, U.S. Immigration and Customs Enforcement, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,27794242.79,5352025.97,0.00,0.00,0.00,0.00,0.00,33146268.76,29049239.15,5352025.97,4097029.61,43027792.73,33146268.76
069-4120,"Aviation Insurance Revolving Fund, Transportation",Department of Transportation,Transportation,Air transportation,2146923137.86,0.00,0.00,0.00,0.00,56970336.68,56970336.68,2203893474.54,990609.43,0.00,2202902865.11,759316.66,2203893474.54
070-5385,"Aviation Security Capital Fund, Transportation Security Administration, Homeland Security",Department of Homeland Security,Transportation,Air transportation,250178603.67,29406705.85,249750000.00,0.00,0.00,0.00,0.00,529335309.52,245069818.50,29406705.85,284265491.02,273613935.18,529335309.52
070-0550,"Aviation Security, Transportation Security Administration, Homeland Security",Department of Homeland Security,Transportation,Air transportation,323791946.12,123040899.25,4647419010.30,0.00,0.00,2630725115.57,2630725115.57,7724976971.24,7150336310.89,79353520.41,574640660.35,6678421070.31,7724976971.24
069-5422,"Aviation User Fees, Federal Aviation Administration, Transportation",Department of Transportation,Transportation,Air transportation,9244972.85,-681774.00,6949656.22,0.00,0.00,0.00,0.00,15512855.07,1607670.54,0.00,13905184.53,1003141.04,15512855.07
069-8014,"Baltimore-Washington Parkway Trust Fund, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
021-8063,"Bequest of Major General Fred C. Ainsworth, Library, Walter Reed General Hospital, Army",Department of the Army,National Defense,Department of Defense-Military,23684.25,0.00,0.00,0.00,0.00,0.00,0.00,23684.25,0.00,0.00,23684.25,0.00,23684.25
069-0507,"Bikeway Program, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
091-1300,"Bilingual and Immigrant Education, Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",15587623.00,-2350797.87,737400000.00,0.00,0.00,0.00,0.00,750636825.13,743742011.97,2463361.22,6894813.16,744393773.87,750636825.13
070-0714,"Biodefense Countermeasures, National Protection and Programs Directorate, Homeland Security",Department of Homeland Security,Health,Health care services,13188.51,0.00,0.00,0.00,0.00,0.00,0.00,13188.51,21.11,0.00,13167.40,31387167.57,13188.51
012-1003,"Biomass Research and Development, National Institute of Food and Agriculture, Agriculture",Department of Agriculture,Energy,Energy supply,5119607.23,1146181.39,2793000.00,0.00,0.00,0.00,0.00,9058788.62,403100.48,1146181.39,8655688.14,11001944.19,9058788.62
012-3106,"Biorefinery Assistance Program Account, Rural Business - Cooperative Service, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,174150471.78,-23150471.78,0.00,0.00,0.00,0.00,0.00,151000000.00,59368366.00,252991.35,91631634.00,0.00,151000000.00
